country/ month,JAN,FEB,MARCH,APRIL,MAY,JUNE,JULY,AUGEST,SEPTEMBER,OCTOBER,NOVEMBER 
Guinea,0,0,0,77,457,770,1190,1602,1890,2148,657
Guinea-Bissau,0,0,0,4,125,434,788,953,1143,1244,369
Guyana,0,0,17,182,312,360,540,797,1728,3266,1167
Haiti,0,0,0,84,627,2184,4272,5812,6545,7145,2088
Honduras,0,0,14,1084,4198,9890,26599,48732,63235,78556,24444
Hungary,0,0,113,4456,13609,16771,18388,18802,19981,35632,19429
Iceland,0,0,20,225,310,300,310,310,300,328,144
India,0,0,188,13055,89793,319690,793511,1553468,2443314,3457615,1119020
Indonesia,0,0,824,13411,34938,65297,120707,190319,269201,380180,128205
Iran,0,127,31345,138059,213896,270813,418711,599489,706511,925339,329156
Iraq,0,0,439,2226,3973,23458,105079,180706,243674,311810,100118
Ireland,0,0,225,15314,46236,50995,54251,54946,53609,57204,17362
Isle of Man,0,0,0,202,724,720,744,744,720,744,217
Israel,0,0,74,3747,8097,9055,12136,21767,35281,64825,23465
Italy,0,71,104186,628660,968137,1027489,1084553,1094804,1069469,1135111,358966
Jamaica,0,0,7,142,276,296,310,456,1583,4832,1928
Japan,0,23,793,5203,21603,28019,30562,34497,43401,51373,16145
Jersey,0,0,7,279,828,909,961,975,960,992,288
Jordan,0,0,7,197,277,270,320,368,815,10248,9223
Kazakhstan,0,0,2,418,1010,2823,12771,45061,59245,66514,20300
Kenya,0,0,5,279,1267,3131,6710,14643,18943,25331,9505
Kosovo,0,0,9,307,872,1048,3657,11940,17694,20137,6436
Kuwait,0,0,0,208,3102,8748,12357,15307,17017,21278,7152
Kyrgyzstan,0,0,0,155,407,947,18726,42256,31862,34146,10495
Laos,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,168,604,829,948,1009,1060,1419,764
Lebanon,0,0,91,601,796,927,1261,3118,7697,15329,6094
Lesotho,0,0,0,0,0,0,131,800,980,1283,394
Liberia,0,0,0,189,676,953,1758,2493,2460,2542,738
Libya,0,0,0,35,100,293,1369,4584,11429,21404,8072
Liechtenstein,0,0,0,26,31,30,31,31,30,32,27
Lithuania,0,0,40,794,1720,2234,2459,2546,2617,3529,1646
Luxembourg,0,0,140,1874,3208,3300,3442,3766,3720,4177,1542
Macedonia,0,0,30,1214,3109,6007,12291,16706,19839,25789,9569
Madagascar,0,0,0,0,33,342,1618,4891,6393,7365,2211
Malawi,0,0,0,50,101,214,1633,4740,5321,5617,1656
Malaysia,0,0,217,2334,3430,3570,3788,3876,3886,5576,2407
Maldives,0,0,0,0,103,230,415,696,953,1101,346
Mali,0,0,0,357,1493,3007,3745,3873,3840,4100,1229
Malta,0,0,0,63,173,270,279,289,560,1391,610
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0
Mauritania,0,0,0,28,149,2360,4494,4880,4818,5037,1476
Mauritius,0,0,21,247,310,300,310,310,300,310,90
Mexico,0,0,104,17560,157414,544860,1145277,1731487,2137534,2627489,839499
Moldova,0,0,17,1493,6168,12349,20472,27529,34525,47543,16624
Monaco,0,0,0,20,31,30,31,31,30,31,9
Mongolia,0,0,0,0,0,0,0,0,0,0,0
Montenegro,0,0,5,114,266,274,838,2271,3822,6951,2908
Montserrat,0,0,0,5,31,30,31,31,30,31,9
Morocco,0,0,152,3475,5883,6364,8284,20920,49229,87677,35820
Mozambique,0,0,0,0,9,100,285,556,1137,2325,863
Myanmar,0,0,0,106,186,180,186,186,2221,23802,11958
Namibia,0,0,0,0,0,0,99,1053,3072,4003,1199
Nepal,0,0,0,0,50,543,1212,3481,10868,21675,9236
Netherlands,0,0,4780,90785,171500,181532,190133,191217,188004,208762,69080
New Caledonia,0,0,0,0,0,0,0,0,0,0,0
New Zealand,0,0,3,269,649,660,682,682,725,775,225
Nicaragua,0,0,4,47,380,1734,3015,3974,4355,4764,1408
Niger,0,0,9,481,1565,1979,2122,2139,2070,2139,621
Nigeria,0,0,9,519,5246,13021,23241,29883,32367,34768,10358
Northern Mariana Islands,0,0,0,52,62,60,62,62,60,62,18
Norway,0,0,168,3621,6959,7276,7849,8054,7991,8593,2549
Oman,0,0,0,155,731,3193,8954,17220,23907,33236,11408
Pakistan,0,0,94,4259,26710,86170,165067,190725,191789,205593,62078
Palestine,0,0,5,49,132,156,1454,3740,7831,14351,5163
Panama,0,0,125,3052,8124,13708,31015,53888,65565,78526,24706
Papua New Guinea,0,0,0,0,0,0,5,101,178,217,63
Paraguay,0,0,25,203,328,366,887,4405,17059,35153,13049
Peru,0,0,113,10021,78092,205333,415684,757073,924193,1038964,312116
Philippines,0,28,596,9593,23985,32742,49834,81035,134926,199185,66307
Poland,0,0,180,8710,27039,37839,49335,57957,66975,108581,59503
Portugal,0,0,632,17328,37184,45188,51616,54994,56459,66990,24246
Puerto Rico,0,0,16,1446,3589,4363,5419,10041,16476,23129,7636
Qatar,0,0,3,207,548,2291,4581,5829,6209,6894,2088
Romania,0,0,187,10624,31803,42828,60651,91362,126604,177358,66755
Russia,0,0,29,9068,78693,211190,362399,482108,564122,735303,262927
Rwanda,0,0,0,0,1,58,125,287,689,996,319
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0
San Marino,0,0,313,1082,1279,1260,1302,1302,1260,1302,378
Sao Tome and Principe,0,0,0,0,205,366,427,465,450,467,144
Saudi Arabia,0,0,29,2331,9291,30376,71590,104451,129648,158271,49228
Senegal,0,0,0,111,749,2051,4885,7655,8907,9818,2929
Serbia,0,0,55,2893,6849,7663,13099,20474,22006,23969,7675
Seychelles,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,23,826,1552,1984,2127,2151,2257,666
Singapore,0,0,23,271,647,760,823,837,810,856,252
Sint Maarten (Dutch part),0,0,0,250,452,450,465,518,593,682,202
Slovakia,0,0,0,232,827,840,868,971,1157,2952,2458
Slovenia,0,0,59,1664,3171,3274,3485,3815,3955,4981,2775
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0
Somalia,0,0,0,221,1629,2575,2863,2899,2933,3114,954
South Africa,0,0,11,1263,9199,46209,147870,353625,465790,560816,176300
South Korea,0,75,2601,6520,8081,8326,9037,9534,10987,13659,4266
South Sudan,0,0,0,0,105,755,1301,1453,1453,1668,530
Spain,0,0,43788,533242,835201,828405,880772,889890,907728,1046133,301733
Sri Lanka,0,0,3,186,276,329,341,350,376,436,237
Sudan,0,0,18,249,3218,13353,20567,24557,24979,25923,7811
Suriname,0,0,0,27,31,154,583,1385,2753,3345,1006
Swaziland,0,0,0,13,56,141,671,2137,3017,3538,1053
Sweden,0,0,1727,47433,119380,153316,175184,179179,175132,183355,36066
Switzerland,0,0,1699,27915,48717,50147,52376,53144,52549,56990,20216
Syria,0,0,3,71,102,197,720,2110,4713,7395,2718
Taiwan,0,13,48,169,206,210,217,217,210,217,63
Tajikistan,0,0,0,0,867,1495,1731,1985,2161,2463,744
Tanzania,0,0,3,147,622,630,651,651,630,651,189
Thailand,0,0,61,1166,1728,1738,1798,1798,1752,1829,535
Timor,0,0,0,0,0,0,0,0,0,0,0
Togo,0,0,4,125,342,396,482,767,1145,1568,513
Trinidad and Tobago,0,0,12,225,248,240,248,346,1552,2894,987
Tunisia,0,0,49,895,1406,1480,1550,1825,3987,18822,13926
Turkey,0,0,779,46632,122997,144859,167784,185067,215749,283114,95070
Turks and Caicos Islands,0,0,0,25,31,30,62,67,147,186,54
Uganda,0,0,0,0,0,0,12,435,1635,2883,1080
Ukraine,0,0,61,3367,14734,27235,44018,64113,98410,167500,69951
United Arab Emirates,0,0,24,1071,6272,8716,10347,11276,11972,14091,4542
United Kingdom,0,0,10097,432012,1017549,1177200,1267231,1281831,1251193,1351092,429644
United States,0,0,15268,907077,2652791,3474744,4281933,5231271,5860119,6753471,2105180
United States Virgin Islands,0,0,0,53,162,180,199,312,543,636,200
Uruguay,0,0,2,265,601,721,971,1215,1367,1587,544
Uzbekistan,0,0,4,137,357,554,2301,7112,11957,16062,5184
Vatican,0,0,0,0,0,0,0,0,0,0,0
Venezuela,0,0,7,240,321,815,3121,8357,15004,22200,7311
Vietnam,0,0,0,0,0,0,0,605,1048,1085,315
Wallis and Futuna,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,0,0,0,0,2,30,31,31,30,31,9
Yemen,0,0,0,0,716,5695,12744,16441,17427,18472,5412
Zambia,0,0,0,59,185,355,2543,7476,9432,10592,3141
Zimbabwe,0,0,8,79,124,141,663,4017,6593,7215,2226
